MOFID,label,GATS1p,ATSC1e,X4v,GATS3p,GATS4p,MATS1p,EM,Vatomic,SpPosA_B_p,GATS2m,J_Dz_e,SpDiam_Dz_e,SM1_Dz_e,EE_B_p,MAXDN,VE1_B_s,SpMin1_Bh_s,GATS2p,Eta_sh_x,GATS2e,GATS1m,MATS4p,Mp,ATSC1p,SpMax2_Bh_m,X0Av,P
170,0,1.559,0.162,29.687,1.78,1.383,-0.203,4.39,6.61,1.424,1.042,0.8331,969.256,0.871,7.121,3.665,6.715,1.552,1.108,0.031,0.769,1.008,0.068,0.809,15.043,5.45,0.556,1.88
171,0,1.579,0.271,30.226,1.818,1.383,-0.219,4.39,6.61,1.386,1.02,0.8264,976.77,1.353,7.08,4.024,4.754,1.488,1.094,0.032,0.63,1.006,0.082,0.824,14.004,5.45,0.539,1.88
172,0,1.573,0.213,29.159,1.881,1.43,-0.187,4.39,6.61,1.404,1.026,0.8859,811.14,1.342,7.049,3.585,4.59,1.532,1.114,0.034,0.654,1.047,0.096,0.807,11.379,5.45,0.542,1.88
173,0,1.652,0.14,24.58,1.959,1.519,-0.243,4.39,6.61,1.418,1.127,0.9831,758.15,0.871,6.983,3.725,4.662,1.488,1.187,0.036,0.818,1.063,0.092,0.834,13.136,5.45,0.553,1.88
174,0,1.58,0.127,26.309,1.81,1.409,-0.175,4.39,6.61,1.437,1.071,1.0513,482.482,0.518,6.847,3.157,4.442,1.529,1.131,0.045,0.944,1.103,0.055,0.821,10.282,5.45,0.571,1.88
175,0,1.539,0.212,27.221,1.834,1.355,-0.104,4.39,6.61,1.4,1.037,1.0692,555.832,0.919,6.891,3.448,5.543,1.529,1.138,0.041,0.741,1.119,0.08,0.785,10.893,5.45,0.565,1.88
176,0,1.512,0.66,28.161,1.708,1.353,-0.208,4.44,6.59,1.425,1.039,0.767,1001.921,0.19,7.007,3.241,6.709,1.552,1.068,0.029,1.041,1.012,0.06,0.805,14.06,5.433,0.559,1.91
177,0,1.513,0.663,29.543,1.696,1.308,-0.203,4.44,6.59,1.41,0.997,0.7443,917.927,0.19,6.902,3.169,4.693,1.468,1.026,0.031,0.995,1.012,0.067,0.796,14.026,5.433,0.568,1.91
178,0,1.541,0.603,28.419,1.755,1.343,-0.221,4.44,6.59,1.384,0.997,0.7807,991.256,0.989,6.947,3.597,4.699,1.468,1.046,0.03,0.729,1.008,0.075,0.811,13.221,5.433,0.548,1.91
179,0,1.605,0.607,24.125,1.786,1.34,-0.238,4.44,6.59,1.409,1.071,1.0169,547.624,0.532,6.762,3.35,5.725,1.489,1.09,0.039,0.909,1.052,0.089,0.806,12.13,5.433,0.56,1.91
180,0,1.555,0.686,25.038,1.805,1.291,-0.159,4.44,6.59,1.377,1.035,1.036,626.444,0.928,6.81,3.634,5.931,1.496,1.093,0.036,0.847,1.069,0.108,0.773,12.809,5.433,0.555,1.91
181,0,1.588,0.666,26.412,1.832,1.433,-0.247,4.44,6.59,1.382,1.048,0.811,1004.465,1.211,7.002,3.622,4.712,1.472,1.123,0.029,0.939,1.009,0.137,0.807,13.184,5.433,0.537,1.91
182,0,1.524,1.036,31.233,1.781,1.437,-0.221,4.44,6.59,1.339,1.022,0.6287,2051.4,1.843,7.242,4.187,4.715,1.472,1.106,0.021,0.76,0.971,0.087,0.804,15.313,5.433,0.518,1.91
183,0,1.609,0.603,23.449,1.897,1.459,-0.25,4.44,6.59,1.409,1.125,0.9259,813.682,0.532,6.883,3.525,4.717,1.472,1.139,0.032,0.964,1.06,0.105,0.827,12.293,5.433,0.551,1.91
