MOFID,Label_Stab,sample_weight,ATS7p,ATSC3p,VE2_X,P_VSA_v_3,SpMax8_Bh_m,P_VSA_s_3,Molecular_Topological_Index_Unit,SM2_B_p,TIC2,Eig11_EA_ed,Eig13_AEA_ed,VE1_X,SpMaxA_B_s,MLOGP2,SM13_AEA_bo,JGT,VE3sign_H2,IC2,P_VSA_LogP_7,F04_C_N,Eig06_EA_ri,P_VSA_LogP_5,SpMin6_Bh_s,SpMax4_Bh_e,LogP_Linker,GATS2m,SpMin1_Bh_s,X3v,SpMax4_Bh_m,GGI5
L5-N-CuCu-C,1,3.0,5.792,39.386,0.092,459.554,3.953,99.457,5258.282326,5.99,449.209,9.426,6.05,7.724,0.06,75.891,3.073,0.368,-13.661,3.455,541.471,38,3.009,91.034,1.237,4.029,6.099,1.075,1.552,29.408,4.258,5.864
L5-N-CuCu-CHO,1,3.0,5.858,39.634,0.088,469.821,3.953,105.828,5486.345405,6.028,497.68,9.44,6.051,7.775,0.085,54.082,3.115,0.384,-15.999,3.714,517.928,38,3.014,97.405,1.237,4.029,6.099,1.078,1.552,29.854,4.258,6.101
L5-N-FeFe-C,1,3.0,5.823,46.231,0.092,459.554,3.946,99.457,5258.282326,6.042,449.209,9.426,6.05,7.724,0.06,75.891,3.073,0.368,-13.661,3.455,541.471,38,3.009,91.034,1.237,4.029,6.099,1.021,1.552,32.213,4.258,5.864
L5-N-FeFe-CHO,1,3.0,5.899,46.4,0.088,469.821,3.946,105.828,5486.345405,6.079,497.68,9.44,6.051,7.775,0.085,54.082,3.115,0.384,-15.999,3.714,517.928,38,3.014,97.405,1.237,4.029,6.099,1.022,1.552,32.659,4.258,6.101
L5-N-MnMn-C,1,3.0,5.837,49.202,0.092,459.554,3.945,99.457,5258.282326,6.069,449.209,9.426,6.05,7.724,0.06,75.891,3.073,0.368,-13.661,3.455,541.471,38,3.009,91.034,1.237,4.029,6.099,1.014,1.567,33.604,4.258,5.864
L5-N-MnMn-CHO,1,3.0,5.917,49.336,0.088,469.821,3.945,105.828,5486.345405,6.105,497.68,9.44,6.051,7.775,0.085,54.082,3.115,0.384,-15.999,3.714,517.928,38,3.014,97.405,1.237,4.029,6.099,1.015,1.57,34.051,4.258,6.101
L5-N-NiNi-C,1,3.0,5.802,41.471,0.092,459.554,3.949,99.457,5258.282326,6.004,449.209,9.426,6.05,7.724,0.06,75.891,3.073,0.368,-13.661,3.455,541.471,38,3.009,91.034,1.237,4.029,6.099,1.042,1.552,30.179,4.258,5.864
L5-N-NiNi-CHO,1,3.0,5.87,41.695,0.088,469.821,3.949,105.828,5486.345405,6.042,497.68,9.44,6.051,7.775,0.085,54.082,3.115,0.384,-15.999,3.714,517.928,38,3.014,97.405,1.237,4.029,6.099,1.044,1.552,30.625,4.258,6.101
L5-N-ScSc-C,0,3.0,5.942,74.038,0.092,459.554,3.925,99.457,5258.282326,6.363,449.209,9.426,6.05,7.724,0.06,75.891,3.073,0.368,-13.661,3.455,541.471,38,3.009,91.034,1.237,4.026,6.099,0.932,1.658,46.791,4.254,5.864
L5-N-ScSc-CHO,0,3.0,6.053,73.833,0.088,469.821,3.925,105.828,5486.345405,6.389,497.68,9.44,6.051,7.775,0.085,54.082,3.115,0.384,-15.999,3.714,517.928,38,3.014,97.405,1.237,4.026,6.099,0.931,1.66,47.237,4.254,6.101
